epoch,accuracy,loss,val_accuracy,val_loss
0,0.3581511080265045,1.329932451248169,0.46685880422592163,1.270213007926941
1,0.6507058143615723,0.9856115579605103,0.651296854019165,0.91451495885849
2,0.7938001751899719,0.5772079229354858,0.7118155360221863,0.7892073392868042
3,0.847771942615509,0.4072784185409546,0.7060518860816956,0.7944890260696411
4,0.8859673142433167,0.32306551933288574,0.6945244669914246,0.8186169862747192
5,0.9114309549331665,0.2597717344760895,0.6916426420211792,0.8824953436851501
6,0.9283144474029541,0.21026287972927094,0.6916426420211792,0.9390618205070496
7,0.9446443319320679,0.1791950762271881,0.6858789920806885,1.015669822692871
8,0.9551619291305542,0.14876201748847961,0.6829971075057983,1.1256554126739502
9,0.9604207277297974,0.1335366815328598,0.6887608170509338,1.1673461198806763
10,0.9640188217163086,0.11635316163301468,0.6858789920806885,1.2321498394012451
11,0.9654027223587036,0.10781967639923096,0.680115282535553,1.2605111598968506
12,0.9701079726219177,0.09259658306837082,0.6829971075057983,1.364852786064148
13,0.9703847169876099,0.08717381209135056,0.680115282535553,1.3738936185836792
14,0.9745364189147949,0.08240202814340591,0.6858789920806885,1.4492695331573486
15,0.973429262638092,0.0854959636926651,0.6714697480201721,1.4341440200805664
16,0.9753667116165161,0.07880881428718567,0.6772334575653076,1.4987460374832153
17,0.9748131632804871,0.076169952750206,0.680115282535553,1.5398540496826172
18,0.9759202599525452,0.0685131847858429,0.6628242135047913,1.6028269529342651
19,0.975643515586853,0.06978391855955124,0.6714697480201721,1.5552901029586792
20,0.977027416229248,0.06522852927446365,0.680115282535553,1.5928698778152466
21,0.9761970639228821,0.06569480150938034,0.680115282535553,1.6212981939315796
22,0.9767506122589111,0.058751899749040604,0.6772334575653076,1.6439005136489868
23,0.9789648652076721,0.059686899185180664,0.6829971075057983,1.7014755010604858
24,0.977027416229248,0.06534349918365479,0.680115282535553,1.6537959575653076
