epoch,accuracy,loss,val_accuracy,val_loss
0,0.3838914930820465,1.3203233480453491,0.4755043089389801,1.2628997564315796
1,0.6734015941619873,0.9574359655380249,0.6599423885345459,0.9220764636993408
2,0.8070855140686035,0.5634475946426392,0.6858789920806885,0.8148496150970459
3,0.8524771928787231,0.4023042619228363,0.7089337110519409,0.8645302653312683
4,0.8873512148857117,0.3177391588687897,0.6829971075057983,0.8755117654800415
5,0.9125380516052246,0.25939857959747314,0.6743515729904175,0.9132582545280457
6,0.9313589930534363,0.21421141922473907,0.6887608170509338,1.0021796226501465
7,0.9446443319320679,0.17600437998771667,0.6887608170509338,1.0768791437149048
8,0.9559922218322754,0.15291856229305267,0.6772334575653076,1.1291446685791016
9,0.9576529264450073,0.13427232205867767,0.6743515729904175,1.2009892463684082
10,0.9640188217163086,0.11995835602283478,0.6685879230499268,1.2795586585998535
11,0.9662330746650696,0.10690174251794815,0.6455331444740295,1.2781310081481934
12,0.9684472680091858,0.09739764779806137,0.6484149694442749,1.3396775722503662
13,0.973706066608429,0.08842774480581284,0.6541786789894104,1.3456257581710815
14,0.972875714302063,0.08653059601783752,0.651296854019165,1.4564156532287598
15,0.975643515586853,0.0827089175581932,0.6455331444740295,1.4277602434158325
16,0.9739828109741211,0.0793999508023262,0.651296854019165,1.4729984998703003
17,0.975089967250824,0.07542654126882553,0.6484149694442749,1.5014475584030151
18,0.9748131632804871,0.0735519751906395,0.639769434928894,1.5480561256408691
19,0.9761970639228821,0.0665561705827713,0.651296854019165,1.6209157705307007
20,0.9789648652076721,0.06443910300731659,0.6426513195037842,1.6292309761047363
21,0.977027416229248,0.06058221310377121,0.639769434928894,1.664921760559082
22,0.9773041605949402,0.06275873631238937,0.6657060384750366,1.6601794958114624
23,0.9797951579093933,0.06167731434106827,0.6426513195037842,1.7274540662765503
24,0.9781345129013062,0.05889672413468361,0.6368876099586487,1.6850271224975586
